"datetime","imputatie_methode","schatting_ondergrens","schatting_bovengrens","NN_divergeert","debiet","gat_nr","train_fw_ind","train_bw_ind","IB_comb","IB_schatting","debiet_x_IB"
2014-09-11 13:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-11 14:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-11 15:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-11 16:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-11 17:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-11 18:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-11 19:00:00,0,NA,NA,NA,0,0,1,0,1,0,0
2014-09-11 20:00:00,0,NA,NA,NA,0.8874,0,1,0,0.25,0,0.8874
2014-09-11 21:00:00,0,NA,NA,NA,0.1175,0,1,0,0,0,0.1175
2014-09-11 22:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-11 23:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 00:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 01:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 02:00:00,0,NA,NA,NA,0,0,1,0,0.25,0,0
2014-09-12 03:00:00,0,NA,NA,NA,0.2871,0,1,0,1,0,0.2871
2014-09-12 04:00:00,0,NA,NA,NA,0.7561,0,1,0,0,0,0.7561
2014-09-12 05:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 06:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 07:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 08:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 09:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 10:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 11:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 12:00:00,0,NA,NA,NA,0,0,1,0,0.75,0,0
2014-09-12 13:00:00,0,NA,NA,NA,0.8813,0,1,0,0.25,0,0.8813
2014-09-12 14:00:00,0,NA,NA,NA,0.1393,0,1,0,0,0,0.1393
2014-09-12 15:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 16:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 17:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 18:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 19:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 20:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
2014-09-12 21:00:00,0,NA,NA,NA,0,0,1,0,0,0,0
