"datetime","imputatie_methode","schatting_ondergrens","schatting_bovengrens","NN_divergeert","debiet","gat_nr","train_fw_ind","train_bw_ind","debiet_x_IB"
2015-08-25 14:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-25 15:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-25 16:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-25 17:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-25 18:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-25 19:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-25 20:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-25 21:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-25 22:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-25 23:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 00:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 01:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 02:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 03:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 04:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 05:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 06:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 07:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 08:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 09:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 10:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 11:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 12:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 13:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 14:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 15:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 16:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 17:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 18:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 19:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 20:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 21:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 22:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-26 23:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 00:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 01:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 02:00:00,0,NA,NA,NA,7e-04,NA,NA,NA,7e-04
2015-08-27 03:00:00,0,NA,NA,NA,0.0028,NA,NA,NA,0.0028
2015-08-27 04:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 05:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 06:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 07:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 08:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 09:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 10:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 11:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 12:00:00,0,NA,NA,NA,0.0012,NA,NA,NA,0.0012
2015-08-27 13:00:00,0,NA,NA,NA,0.0012,NA,NA,NA,0.0012
2015-08-27 14:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 15:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 16:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 17:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 18:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 19:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 20:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 21:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 22:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-27 23:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 00:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 01:00:00,0,NA,NA,NA,4e-04,NA,NA,NA,4e-04
2015-08-28 02:00:00,0,NA,NA,NA,0.0613,NA,NA,NA,0.0613
2015-08-28 03:00:00,0,NA,NA,NA,0.0767,NA,NA,NA,0.0767
2015-08-28 04:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 05:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 06:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 07:00:00,0,NA,NA,NA,0.0011,NA,NA,NA,0.0011
2015-08-28 08:00:00,0,NA,NA,NA,0.0401,NA,NA,NA,0.0401
2015-08-28 09:00:00,0,NA,NA,NA,0.0518,NA,NA,NA,0.0518
2015-08-28 10:00:00,0,NA,NA,NA,0.0462,NA,NA,NA,0.0462
2015-08-28 11:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 12:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 13:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 14:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 15:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 16:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 17:00:00,0,NA,NA,NA,4e-04,NA,NA,NA,4e-04
2015-08-28 18:00:00,0,NA,NA,NA,0.0119,NA,NA,NA,0.0119
2015-08-28 19:00:00,0,NA,NA,NA,0.0547,NA,NA,NA,0.0547
2015-08-28 20:00:00,0,NA,NA,NA,0.0427,NA,NA,NA,0.0427
2015-08-28 21:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 22:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-28 23:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-29 00:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-29 01:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-29 02:00:00,0,NA,NA,NA,0.0113,NA,NA,NA,0.0113
2015-08-29 03:00:00,0,NA,NA,NA,0.0244,NA,NA,NA,0.0244
2015-08-29 04:00:00,0,NA,NA,NA,0.0571,NA,NA,NA,0.0571
2015-08-29 05:00:00,0,NA,NA,NA,0.0216,NA,NA,NA,0.0216
2015-08-29 06:00:00,0,NA,NA,NA,0,NA,NA,NA,0
2015-08-29 07:00:00,0,NA,NA,NA,0,NA,NA,NA,0
